    YYYYMMDD      HHMMSS     JULIAN        YEAR      total_column   error       instrument
    19960529      101503    2450233     1996.408271   4.0965e+015   6.6687e+014      0
    19960529      113450    2450233     1996.408422   6.5724e+015   1.0699e+015      0
    19960531       95727    2450235     1996.413702   1.2918e+016   2.1028e+015      0
    19960531      111735    2450235     1996.413854   1.0979e+016   1.7873e+015      0
    19960605      112250    2450240     1996.427525   1.1286e+016   1.8372e+015      0
    19960605      124228    2450240     1996.427676   1.3454e+016   2.1901e+015      0
    19960606      130137    2450241     1996.430445   4.7777e+015   7.7776e+014      0
    19960607       94623    2450242     1996.432807   1.0224e+016   1.6643e+015      0
    19960608       92721    2450243     1996.435503   5.9770e+015   9.7298e+014      0
    19960608      104707    2450243     1996.435654   8.9310e+015   1.4539e+015      0
    19960608      144900    2450243     1996.436113   6.1133e+015   9.9517e+014      0
    19960609       83036    2450244     1996.438127   1.0790e+016   1.7564e+015      0
    19960615      101852    2450250     1996.454726   7.6637e+015   1.2476e+015      0
    19960619      100411    2450254     1996.465627   8.4372e+015   1.3735e+015      0
    19960622      115820    2450257     1996.474041   1.1730e+016   1.9095e+015      0
    19960628      114202    2450263     1996.490403   2.3050e+015   3.7523e+014      0
    19960629      131319    2450264     1996.493309   4.4886e+015   7.3069e+014      0
    19960630      114036    2450265     1996.495865   7.7416e+015   1.2602e+015      0
    19960719      132717    2450284     1996.547980   1.4062e+016   2.2891e+015      0
    19960730       95850    2450295     1996.577639   7.4266e+015   1.2090e+015      0
    19960803       92124    2450299     1996.588497   4.1891e+015   6.8193e+014      0
    19960813      111515    2450309     1996.616035   9.6082e+015   1.5641e+015      0
    19960813      125840    2450309     1996.616232   1.6214e+016   2.6394e+015      0
    19960814      122348    2450310     1996.618898   8.1035e+015   1.3192e+015      0
    19960825      102112    2450321     1996.648720   5.0713e+015   8.2555e+014      0
    19960905      133623    2450332     1996.679145   7.1372e+015   1.1619e+015      0
    19960906      114942    2450333     1996.681674   5.6496e+015   9.1968e+014      0
    19960911       82527    2450338     1996.694948   8.5690e+015   1.3949e+015      0
    19960911      135512    2450338     1996.695574   1.3539e+016   2.2040e+015      0
    19960922      135604    2450349     1996.725630   1.1863e+016   1.9312e+015      0
    19960925       82617    2450352     1996.733201   4.4176e+015   7.1913e+014      0
    19960925      161408    2450352     1996.734089   7.9053e+015   1.2869e+015      0
    19960926      121243    2450353     1996.736363   4.2648e+015   6.9425e+014      0
    19960926      135545    2450353     1996.736558   9.0320e+015   1.4703e+015      0
    19961125       74556    2450413     1996.899791   2.0262e+016   3.2984e+015      0
    19961125       92935    2450413     1996.899988   1.8007e+016   2.9313e+015      0
    19961125      111224    2450413     1996.900183   1.4324e+016   2.3318e+015      0
    19961125      125514    2450413     1996.900378   7.3242e+015   1.1923e+015      0
    19961125      162056    2450413     1996.900768   2.6470e+016   4.3090e+015      0
    19961126       54829    2450414     1996.902301   9.8804e+015   1.6084e+015      0
    19961216       61910    2450434     1996.957004   1.5179e+016   2.4709e+015      0
    19961216       80208    2450434     1996.957199   1.5249e+016   2.4823e+015      0
    19961221      100930    2450439     1996.971102   7.7687e+015   1.2646e+015      0
    19961221      133911    2450439     1996.971500   1.1603e+016   1.8888e+015      0
    19961221      152151    2450439     1996.971694   1.2109e+016   1.9712e+015      0
    19961222       81923    2450440     1996.973625   6.8505e+015   1.1152e+015      0
    19961222      100611    2450440     1996.973828   1.4912e+016   2.4275e+015      0
    19961222      151433    2450440     1996.974413   3.8702e+016   6.3002e+015      0
    19970105       84117    2450454     1997.011951   1.0732e+016   1.7470e+015      0
    19970105      102344    2450454     1997.012146   1.4184e+016   2.3090e+015      0
    19970105      134839    2450454     1997.012535   1.3496e+016   2.1971e+015      0
    19970105      153109    2450454     1997.012730   1.1464e+016   1.8662e+015      0
    19970114      140718    2450463     1997.037229   8.5887e+015   1.3981e+015      0
    19970119       73118    2450468     1997.050174   8.4410e+015   1.3741e+015      0
    19970120      102321    2450469     1997.053241   1.9869e+016   3.2344e+015      0
    19970120      135810    2450469     1997.053649   2.2721e+016   3.6986e+015      0
    19970120      154359    2450469     1997.053851   1.7739e+016   2.8878e+015      0
    19970121       61045    2450470     1997.055500   9.0246e+015   1.4691e+015      0
    19970121       75327    2450470     1997.055695   1.2258e+016   1.9954e+015      0
    19970121       93838    2450470     1997.055895   2.5815e+016   4.2024e+015      0
    19970121      125120    2450470     1997.056262   2.6041e+016   4.2392e+015      0
    19970121      143628    2450470     1997.056462   3.8187e+016   6.2164e+015      0
    19970121      161910    2450470     1997.056657   2.5023e+016   4.0735e+015      0
    19970122       75053    2450471     1997.058430   1.6290e+016   2.6518e+015      0
    19970122      111626    2450471     1997.058821   3.6217e+016   5.8957e+015      0
    19970122      125917    2450471     1997.059017   3.8225e+016   6.2227e+015      0
    19970122      144202    2450471     1997.059212   3.8004e+016   6.1866e+015      0
    19970122      162446    2450471     1997.059408   3.7674e+016   6.1329e+015      0
    19970123       91252    2450472     1997.061326   1.6598e+016   2.7020e+015      0
