"Date","total_column"
"1996-06-01",7.58692908e+15
"1996-09-01",8.34657414e+15
"1997-01-01",2.4505940325e+16
"1997-02-01",1.5799817e+16
"1997-03-01",1.460493685e+16
"1997-04-01",1.6246266175e+16
"1997-08-01",6.701414385e+15
"1997-10-01",1.9944352665e+16
"1997-11-01",1.904986225e+16
"1998-01-01",1.786934335e+16
"1998-02-01",3.881221874e+16
"1998-03-01",2.713173798e+16
"1998-04-01",2.178620805e+16
"1998-09-01",1.131406953e+16
"1998-10-01",1.484542685e+16
"1999-01-01",3.507139365e+16
"1999-02-01",2.12422891e+16
"1999-03-01",2.008885522e+16
"1999-04-01",1.357441765e+16
"1999-08-01",9.213083975e+15
"1999-09-01",1.3552641105e+16
"1999-10-01",1.940923085e+16
"1999-11-01",1.012731702e+16
"2000-01-01",1.66430848e+16
"2000-02-01",3.27171876e+16
"2000-05-01",1.0408142125e+16
"2000-08-01",9.26404242e+15
"2000-09-01",1.4208459735e+16
"2001-03-01",1.664781683e+16
"2001-10-01",1.150964787e+16
"2001-12-01",5.4774656975e+16
"2002-01-01",6.406779505e+16
"2002-04-01",1.948347675e+16
"2002-05-01",1.241043397e+16
"2002-08-01",1.1696849275e+16
"2002-09-01",1.6990983405e+16
"2002-10-01",1.9351110025e+16
"2002-11-01",1.915549647e+16
"2002-12-01",2.795410911e+16
"2003-01-01",7.022087565e+16
"2003-03-01",1.251505299e+16
"2003-06-01",7.02217974e+15
"2003-09-01",8.52489993e+15
"2003-11-01",1.560086194e+16
"2004-01-01",2.22321326e+16
"2004-02-01",2.2097707765e+16
"2004-07-01",9.935660765e+15
"2004-10-01",1.791798607e+16
"2004-11-01",2.97984868e+16
"2005-01-01",NA
"2005-02-01",1.47551799e+16
"2005-03-01",2.3305268135e+16
"2005-04-01",1.67003553e+16
"2005-05-01",1.145580805e+16
"2005-07-01",7.510705575e+15
"2006-04-01",1.447956735e+16
"2006-09-01",1.6032964755e+16
"2006-12-01",3.306787105e+16
"2007-01-01",2.7505564175e+16
"2007-08-01",9.69586781e+15
"2007-09-01",9.652514165e+15
"2007-10-01",1.5299512995e+16
"2007-11-01",2.006033252e+16
"2008-02-01",1.5833565175e+16
"2008-03-01",1.763973078e+16
"2008-04-01",8.837749625e+15
"2008-05-01",7.72472297e+15
"2008-07-01",6.60675951e+15
"2008-08-01",6.77205334e+15
"2008-09-01",1.168761971e+16
"2008-10-01",1.4767926525e+16
"2008-11-01",1.43445114e+16
"2008-12-01",2.327655545e+16
"2009-01-01",2.790785095e+16
"2009-02-01",3.828791705e+16
"2009-03-01",1.494292295e+16
"2009-07-01",4.312456525e+15
"2009-08-01",6.70306697e+15
"2009-09-01",9.497299955e+15
"2009-10-01",8.252881365e+15
"2009-11-01",1.586971119e+16
"2009-12-01",1.997692978e+16
"2010-01-01",2.196562018e+16
"2010-02-01",2.177932107e+16
"2010-03-01",1.7563165165e+16
"2010-04-01",9.656606055e+15
"2010-07-01",5.35116091e+15
"2010-08-01",5.712644985e+15
"2010-09-01",7.88322037e+15
"2010-10-01",1.072718107e+16
"2010-11-01",1.7958214385e+16
"2010-12-01",8.663711505e+15
"2011-01-01",2.21592599e+16
"2011-02-01",3.374497075e+16
"2011-03-01",1.3230673625e+16
"2011-04-01",8.527929965e+15
"2011-05-01",7.33149317e+15
"2011-06-01",4.29320212e+15
"2011-07-01",5.221342215e+15
"2011-08-01",8.897925865e+15
"2011-09-01",1.083212917e+16
"2011-10-01",1.424434415e+16
"2011-11-01",1.8210461235e+16
"2011-12-01",9.793437975e+15
"2012-01-01",1.300661913e+16
"2012-02-01",1.3642120195e+16
"2012-03-01",1.3494865085e+16
"2012-04-01",1.131574082e+16
"2012-05-01",7.43380525e+15
"2012-06-01",4.69832032e+15
"2012-07-01",4.901349165e+15
"2012-08-01",5.79492924e+15
"2012-09-01",8.927616535e+15
"2012-10-01",1.0928173025e+16
"2012-11-01",1.526519679e+16
"2012-12-01",1.3937101805e+16
"2013-01-01",1.8786939975e+16
"2013-02-01",2.2102808975e+16
"2013-03-01",1.4243757855e+16
"2013-04-01",1.165479509e+16
"2013-05-01",6.189667805e+15
"2013-06-01",4.41953837e+15
"2013-07-01",5.880155045e+15
"2013-08-01",6.358906425e+15
"2013-09-01",9.95344599e+15
"2013-10-01",1.5541567915e+16
"2013-11-01",1.414602288e+16
"2013-12-01",1.2345437275e+16
"2014-01-01",1.734939143e+16
"2014-02-01",1.8631970755e+16
"2014-03-01",1.658756553e+16
"2014-04-01",1.2193405795e+16
"2014-05-01",7.87939226e+15
"2014-06-01",4.14550828e+15
"2014-07-01",5.49803002e+15
"2014-08-01",5.554856135e+15
"2014-09-01",7.363108945e+15
"2014-10-01",1.3238805845e+16
"2014-11-01",1.7644178675e+16
"2014-12-01",1.4980990145e+16
"2015-01-01",1.668121167e+16
"2015-02-01",1.589383177e+16
"2015-03-01",1.77096306e+16
"2015-04-01",9.049112965e+15
"2015-05-01",5.221492055e+15
"2015-06-01",4.7498899e+15
"2015-07-01",4.097136975e+15
"2015-08-01",5.269870825e+15
"2015-09-01",8.92464892e+15
"2015-10-01",1.727109786e+16
"2015-11-01",1.735699135e+16
"2015-12-01",2.363561304e+16
